id,relocation_ready,travel_ready,retraining_ready,education_code,employement_code,locality_type,drive_A,drive_B,drive_C,drive_D,drive_E,Гибкий график,Полный рабочий день,Сменный график,Ненормированный рабочий день,Неполный рабочий день,Выхтовый метод,male,female,continue,age,experience,salary_desired,completeness_rate,last_exp,top_institution_by_freq,top_institution_by_salary,mean_salary_positions,mean_salary_skills,top_employer_by_freq,top_employer_by_salary
23,-1,0,0,5,6,6,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.0,27.0,4,50000,92.0,700.0,0.0,0.0,0.057657933822473424,0.0,0.07159438314652575,0.0
78,-1,1,1,5,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,-1.0,52.0,15,90000,68.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,1,1,5,6,6,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.0,25.0,3,41520,87.0,365.0,0.0,0.0,0.0,0.0,0.07159438314652575,0.0
132,-1,-1,1,5,6,6,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.0,33.0,3,20000,88.0,31.0,0.0,0.0,0.038362212814483286,0.0,0.07159438314652575,0.0
171,-1,1,1,5,6,6,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.0,53.0,13,40000,86.0,820.0,0.0,0.0,0.0,0.0,0.07159438314652575,0.0
190,-1,1,1,5,6,6,0,0,0,0,0,1,1,1,0,1,0,0,1,0.0,30.0,0,28000,76.0,0.0,0.0,0.0,0.04446816565550689,0.014779483571442941,0.07159438314652575,0.0
200,1,1,1,5,6,6,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.0,31.0,12,103800,86.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0
227,-1,1,1,5,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,-1.0,47.0,6,100000,78.0,1216.0,0.0,0.0,0.08295535603745231,0.0,0.07159438314652575,0.0
269,1,1,1,2,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,42.0,0,40000,65.0,0.0,0.0,0.0,0.04446816565550689,0.014779483571442941,0.07159438314652575,0.0
274,-1,1,1,3,6,6,0,1,1,1,0,0,1,0,0,0,0,1,0,-1.0,43.0,20,51900,63.0,3346.0,0.0,0.0,0.059046630716114636,0.0,0.07159438314652575,0.0
280,-1,1,1,2,6,6,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,37.0,10,51900,55.0,0.0,0.0,0.0,0.050991006535204865,0.0,0.07159438314652575,0.0
281,-1,1,1,5,6,6,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.0,28.0,2,30000,71.0,577.0,0.0,0.0,0.0,0.0,0.07159438314652575,0.0
315,1,1,0,2,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,39.0,0,70000,53.0,0.0,0.0,0.0,0.04446816565550689,0.014779483571442941,0.07159438314652575,0.0
364,-1,-1,-1,3,6,6,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.0,40.0,7,50000,67.0,153.0,0.0,0.0,0.0,0.0,0.07159438314652575,0.0
491,1,1,1,5,6,6,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0,44.0,18,50000,79.0,0.0,0.0,0.0,0.0,0.0,0.07159438314652575,0.0
